Date,Time,Bar,Wind_Dir,Wind_Speed,Outdoor_Temperature,Outdoor_Humidity,Outdoor_PM2.5,Indoor_PC0.1,Wind_Dir_Degree
14/01/2025,12:00,1012.7,NE,10.475000000000001,31.3793848175,53.2111156925,30.2623289725,699738.2638750001,39.375
14/01/2025,12:20,1012.475,NNE,9.274999999999999,30.3042124825,56.43781527,30.0434883225,724117.924625,112.5
14/01/2025,12:40,1012.275,NE,7.2,29.974848955,56.4300213175,32.8498964375,750483.2185750001,28.125
14/01/2025,13:00,1012.0,NE,7.2,30.86276566,55.080293735,31.7517719925,744984.9877,33.75
14/01/2025,13:20,1011.65,NNE,8.875,30.707690865,54.7614040875,33.1383706925,793220.74415,33.75
14/01/2025,13:40,1011.275,NE,7.2,30.800466035,55.587724602499996,33.724929342500005,775601.491625,33.75
14/01/2025,14:00,1010.75,NE,8.05,30.81508057,55.3083579625,34.848456777500004,787035.300175,39.375
14/01/2025,14:20,1010.55,NE,8.0,31.0777230675,54.70521198,32.8001868825,784805.86925,45.0
14/01/2025,14:40,1010.5,NNE,6.8,30.6225884025,56.421353095,34.08968384,789399.876275,33.75
14/01/2025,15:00,1010.275,NE,6.4,30.3710859575,57.1355154825,30.70773832,772395.950325,50.625
14/01/2025,15:20,1010.075,ENE,6.825,31.00930142,55.955458185,31.3637225725,776364.6254499999,33.75
14/01/2025,15:40,1009.925,NE,8.025,30.26237157,58.23832254,34.39851257,760732.328525,33.75
14/01/2025,16:00,1009.725,NE,6.4,30.2238882925,58.411155789999995,35.3057792,814865.352125,39.375
14/01/2025,16:20,1009.6750000000001,NNE,8.85,29.2442635825,59.94597693,35.26600461,828176.762975,33.75
14/01/2025,16:40,1009.6750000000001,NE,8.025,31.24438654,54.896442585,38.60441059,844929.62145,33.75
14/01/2025,17:00,1009.875,NE,6.4,29.65780613,58.9755501125,37.315144457500004,864058.028975,33.75
14/01/2025,17:20,1009.975,N,6.4,29.36638,59.5831509525,40.801243335,873562.631575,28.125
14/01/2025,17:40,1010.1500000000001,NE,5.6,28.26050139,63.44435326,39.22276541,861009.11725,45.0
15/01/2025,00:00,1012.2,---,0.0,23.31766917,85.10300752,67.9215565,1094277.204,
15/01/2025,00:20,1012.275,W,0.0,23.152271272500002,85.7493158575,64.21596785,1054007.36125,270.0
15/01/2025,00:40,1012.1500000000001,W,0.0,23.0065232675,86.65090013,63.875348125,1057220.3195,270.0
15/01/2025,01:00,1012.05,WNW,0.4,22.8197983125,87.026762115,66.0272606125,1066955.1975,292.5
15/01/2025,01:20,1011.875,---,0.0,22.8939676625,86.27176957,58.0403132425,1022447.0655,292.5
15/01/2025,01:40,1011.7,---,0.0,22.8260972,85.9037767075,56.2527306075,1001151.842575,
15/01/2025,02:00,1011.45,WNW,0.4,22.623486605,86.4778540575,57.4885627975,971101.172225,292.5
15/01/2025,02:20,1011.1,WNW,0.4,22.6531890875,86.6656339775,56.0234090275,961907.72575,286.875
15/01/2025,02:40,1011.025,WNW,0.0,22.799402425,86.06241732000001,54.51542698,943581.2250999999,292.5
15/01/2025,03:00,1010.8,NW,0.0,22.949391345,85.4649209075,53.515787795,945904.8313750001,300.0
15/01/2025,03:20,1010.6,WNW,0.4,22.86535429,85.806471375,52.7334598675,907879.9333500001,298.125
15/01/2025,12:20,1011.025,NNE,9.65,29.679610152499997,60.6682186875,58.9744515675,1039924.7660000001,16.875
15/01/2025,12:40,1010.825,NE,11.7,30.574621505,58.7118197825,57.5846389425,1047928.28675,39.375
15/01/2025,13:00,1010.475,NE,12.5,30.8619065775,57.946878247499995,55.7653096425,1025127.0405,22.5
15/01/2025,13:20,1010.15,NNE,11.7,30.90660385,57.81654389,54.090396489999996,1009185.027,39.375
15/01/2025,13:40,1009.575,NNE,10.875,30.5286240325,58.3397429875,48.592606939999996,976321.68765,33.75
15/01/2025,14:00,1009.5,N,11.3,30.329844780000002,58.6156028725,47.3161219875,923480.641725,28.125
15/01/2025,14:20,1009.375,NNE,9.7,29.86346136,59.4518610775,48.7171486325,881634.04235,106.875
15/01/2025,14:40,1009.175,NW,8.825,29.36071482,61.5147414725,43.6980697825,869081.9372,174.375
15/01/2025,15:00,1008.95,NNE,9.675,28.663088684999998,64.1080462375,43.505335645,871963.315275,22.5
15/01/2025,15:20,1009.0,NNE,9.65,28.661783155000002,64.942306705,48.234006355,879820.4958,22.5
15/01/2025,15:40,1008.775,NNE,8.025,28.3079556575,66.117729655,48.391025945,889396.50475,22.5
15/01/2025,16:00,1008.8249999999999,NE,6.8,28.1061805975,66.8822668575,50.356051095,904087.344025,28.125
15/01/2025,16:20,1008.7,NE,8.425,28.06196655,67.3785600725,50.839133249999996,913872.66135,28.125
15/01/2025,16:40,1008.7,NNW,7.625,27.6825327925,69.0162445025,50.2787665125,922413.479225,101.25
15/01/2025,17:00,1008.875,NE,6.4,27.5356183775,70.29623150750001,50.71470419,934595.4723499999,28.125
15/01/2025,17:20,1008.975,NNE,6.0,27.32826534,71.7181992375,52.346043505,953316.069125,84.375
15/01/2025,17:40,1009.075,NNE,6.4,27.0693710125,72.91222855,55.5335562,978987.713375,16.875
15/01/2025,18:00,1009.225,N,6.0,26.963876195,73.74681894,58.856754214999995,998846.160125,11.25
15/01/2025,18:20,1009.525,N,4.8,26.766602362500002,74.4331049325,59.8258903475,992719.64795,11.25
15/01/2025,18:40,1009.725,N,4.0,26.672386995,74.7862701325,57.621103265,1031032.0355,90.0
15/01/2025,19:00,1010.05,N,2.8000000000000003,26.534577905,75.0024754975,64.02007042,1081350.14575,84.375
15/01/2025,19:20,1010.225,NW,2.4000000000000004,26.68652981,74.4070008375,60.4649703125,1073482.12875,157.5
15/01/2025,19:40,1010.475,NW,1.6,26.599199634999998,74.84981633,59.5603366875,1063412.4385,157.5
15/01/2025,20:00,1010.7,WNW,1.2000000000000002,26.468139705,75.3022738775,57.3268716825,1012547.212425,326.25
